company_name,uid,sitz,kanton
0815 Holding AG,CHE-469.991.119,Bottmingen,BL
0xCollection AG,CHE-495.729.136,Basel,BS
102 PLUS AG,CHE-105.591.589,Münchenstein,BL
1099 AG,CHE-160.635.125,Basel,BS
13 Sport-Promotion AG,CHE-137.212.821,Arisdorf,BL
1790 Grundvermögen AG,CHE-220.168.879,Liestal,BL
1984 AG,CHE-296.190.813,Riehen,BS
1A Wohnen AG,CHE-234.814.527,Basel,BS
1satz AG,CHE-326.528.623,Basel,BS
1st Choice AG,CHE-101.874.278,Basel,BS
2010 ArliBrau AG,CHE-401.606.785,Arlesheim,BL
24K EQT Group AG,CHE-456.200.346,Aesch (BL),BL
24 Stunden Apotheke Basel AG,CHE-110.284.294,Basel,BS
2BFresh Eschbach AG,CHE-194.792.981,Füllinsdorf,BL
2b Personal AG,CHE-400.148.886,Aesch (BL),BL
2in1 AG,CHE-324.729.346,Basel,BS
2K Architektur & Generalunternehmung AG in Liquidation,CHE-226.642.589,Basel,BS
2Leadership AG in Liquidation,CHE-130.476.750,Basel,BS
2M Invest AG,CHE-102.419.422,Frenkendorf,BL
2Msolutions AG,CHE-370.603.323,Frenkendorf,BL
2 Rad Basilisk AG,CHE-105.815.688,Basel,BS
2S Healthcare AG,CHE-185.014.531,Basel,BS
31337 AG,CHE-191.352.456,Basel,BS
3B-AG,CHE-114.643.305,Gelterkinden,BL
3 E Logistic AG,CHE-108.678.123,Basel,BS
3MA Immobilien AG,CHE-178.136.382,Ormalingen,BL
3MBS AG,CHE-452.555.187,Aesch (BL),BL
3S Management AG,CHE-238.431.792,Basel,BS
3 S Produktedesign und Marketing AG,CHE-104.970.760,Basel,BS
4132 AG,CHE-107.787.100,Muttenz,BL
4132 Holding AG,CHE-173.281.657,Muttenz,BL
44real AG,CHE-301.399.309,Basel,BS
47 7 Architekten AG,CHE-115.165.449,Arlesheim,BL
4B GASTRONOMIE AG in Liquidation,CHE-112.541.993,Basel,BS
4biker AG,CHE-447.813.662,Böckten,BL
4-check AG,CHE-254.185.120,Arlesheim,BL
4K INVESTMENT AG,CHE-208.661.554,Binningen,BL
4PL Logistics Management AG,CHE-109.389.638,Basel,BS
"4S AG, Basel",CHE-334.224.757,Basel,BS
4square AG,CHE-101.490.498,Riehen,BS
4sure AG,CHE-193.035.529,Basel,BS
4WT Holding AG,CHE-225.335.392,Ziefen,BL
5-Diagnostics Ltd,CHE-108.225.276,Basel,BS
9-1-1 Classics AG,CHE-475.760.255,Füllinsdorf,BL
A04 AG,CHE-438.668.042,Basel,BS
a5o Holding AG,CHE-196.369.748,Basel,BS
AAA dent AG,CHE-113.231.880,Basel,BS
AAA dent Barfi AG,CHE-380.305.212,Basel,BS
AAE Immobilien AG,CHE-257.324.286,Füllinsdorf,BL
AA Immobilien und Invest AG,CHE-103.077.063,Basel,BS
AAM CASHBIRD B & F AG,CHE-114.451.007,Allschwil,BL
AAP Avantgarde Alternatives Publishers AG,CHE-135.209.015,Basel,BS
